F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S     0     782       2  0  80   0 -   622 -      ?        00:00:00 none
4 S   998     830       1  1  80   - - 72769 -      ?        00:01:26 netdata
4 S   120     832       1  0  80   0 - 63282 -      ?        00:00:00 whoopsie
1 S   116     845       1  0  80   0 -  2810 -      ?        00:00:00 kerneloops
1 S   116     853       1  0  80   0 -  2810 -      ?        00:00:00 kerneloops
0 S   998     974     830  0  80   - - 15478 -      ?        00:00:04 python.d.plugin
4 S   998     990     830  1  80   - - 13615 -      ?        00:01:13 apps.plugin
0 S   998     994     830  0  80   - -  1152 -      ?        00:00:00 nfacct.plugin
4 S   111    1182       1  0  81   1 - 38229 -      ?        00:00:00 rtkit-daemon
1 I     0    1230       2  0  60 -20 -     0 -      ?        00:00:00 cfg80211
4 S     0    1402       1  0  80   0 - 65196 -      ?        00:00:00 upowerd
4 S   121    1442       1  0  80   0 - 63743 -      ?        00:00:00 colord
4 S     0    1453     738  0  80   0 - 40081 -      ?        00:00:00 lightdm
4 S  1001    <1501>       <1>  0  80   0 -  7316 ep_pol ?        00:00:00 systemd
5 S  1001    1511    1501  0  80   0 - 25970 -      ?        00:00:00 (sd-pam)
0 S  1001    1517    1501  0  69 -11 - 550907 poll_s ?       00:00:04 pulseaudio
0 S  1001    1519    1501  0  99   - - 148541 poll_s ?       00:00:00 tracker-miner-f
0 S  1001    1521    1501  0  80   0 -  2851 ep_pol ?        00:00:02 dbus-daemon
0 S  1001    1527    1501  0  80   0 - 39096 poll_s ?        00:00:00 dconf-service
1 S  1001    1532       1  0  80   0 - 62213 -      ?        00:00:00 gnome-keyring-d
0 S  1001    1546    1501  0  80   0 - 62092 poll_s ?        00:00:00 gvfsd
0 S  1001    1551    1501  0  80   0 - 94584 futex_ ?        00:00:00 gvfsd-fuse
4 S  1001    1553    1453  0  80   0 - 49266 poll_s ?        00:00:00 gnome-session-b
0 S  1001    1562    1501  0  80   0 - 80651 poll_s ?        00:00:00 gvfs-udisks2-vo
0 S  1001    1575    1501  0  80   0 - 61082 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1001    1579    1501  0  80   0 - 61651 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1001    1583    1501  0  80   0 - 81347 poll_s ?        00:00:01 gvfs-afc-volume
0 S  1001    1588    1501  0  80   0 - 61134 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1001    1592    1501  0  80   0 - 137588 poll_s ?       00:00:00 goa-daemon
0 S  1001    1599    1501  0  80   0 - 80822 poll_s ?        00:00:00 goa-identity-se
1 S  1001    1675    1553  0  80   0 -  1508 -      ?        00:00:00 ssh-agent
1 S  1001    1692       1  0  80   0 - 79991 poll_s ?        00:00:16 ibus-daemon
0 S  1001    1697    1692  0  80   0 - 61290 poll_s ?        00:00:00 ibus-dconf
0 S  1001    1698    1692  0  80   0 - 81940 poll_s ?        00:00:00 ibus-ui-gtk3
0 S  1001    1699    1692  0  80   0 - 70977 poll_s ?        00:00:03 ibus-extension-
0 S  1001    1703       1  0  80   0 - 51641 poll_s ?        00:00:00 ibus-x11
0 S  1001    1706    1501  0  80   0 - 61251 poll_s ?        00:00:00 ibus-portal
0 S  1001    1711    1501  0  80   0 - 76358 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1001    1716    1711  0  80   0 -  1837 ep_pol ?        00:00:00 dbus-daemon
0 S  1001    1725    1501  0  80   0 - 40721 poll_s ?        00:00:04 at-spi2-registr
0 S  1001    1727    1501  0  80   0 - 154673 poll_s ?       00:00:00 xdg-desktop-por
0 S  1001    1741    1501  0  80   0 - 134947 poll_s ?       00:00:00 xdg-document-po
0 S  1001    1745    1501  0  80   0 - 61057 poll_s ?        00:00:00 xdg-permission-
0 S  1001    1754    1501  0  80   0 - 89249 poll_s ?        00:00:01 xdg-desktop-por
0 S  1001    1769    1692  0  80   0 - 42831 poll_s ?        00:00:04 ibus-engine-sim
0 S  1001    1776    1501  0  80   0 - 24669 poll_s ?        00:00:00 gnome-session-c
0 S  1001    1787    1501  0  80   0 - 123281 poll_s ?       00:00:00 gnome-session-b
0 S  1001    1804    1501  6  80   0 - 1225929 poll_s ?      00:06:13 gnome-shell
0 S  1001    1844    1501  0  80   0 - 126845 poll_s ?       00:00:00 gnome-shell-cal
0 S  1001    1848    1501  0  80   0 - 220562 poll_s ?       00:00:00 evolution-sourc
0 S  1001    1877    1501  0  80   0 - 667147 poll_s ?       00:00:00 gjs
0 S  1001    1885    1546  0  80   0 - 80655 poll_s ?        00:00:00 gvfsd-trash
0 S  1001    1888    1501  0  80   0 - 79587 poll_s ?        00:00:00 gsd-a11y-settin
0 S  1001    1892    1501  0  80   0 - 146812 poll_s ?       00:00:00 gsd-color
0 S  1001    1896    1501  0  80   0 - 95573 poll_s ?        00:00:00 gsd-datetime
0 S  1001    1899    1501  0  80   0 - 80104 poll_s ?        00:00:00 gsd-housekeepin
0 S  1001    1901    1501  0  80   0 - 88653 poll_s ?        00:00:00 gsd-keyboard
0 S  1001    1905    1501  0  80   0 - 174214 poll_s ?       00:00:00 gsd-media-keys
0 S  1001    1906    1501  0  80   0 - 125663 poll_s ?       00:00:00 gsd-power
0 S  1001    1908    1501  0  80   0 - 64219 poll_s ?        00:00:00 gsd-print-notif
0 S  1001    1910    1501  0  80   0 - 116440 poll_s ?       00:00:00 gsd-rfkill
0 S  1001    1918    1501  0  80   0 - 61043 poll_s ?        00:00:00 gsd-screensaver
0 S  1001    1921    1501  0  80   0 - 118336 poll_s ?       00:00:00 gsd-sharing
0 S  1001    1926    1787  0  80   0 - 57948 poll_s ?        00:00:00 gsd-disk-utilit
0 S  1001    1929    1787  0  80   0 - 80341 poll_s ?        00:00:00 indicator-messa
0 S  1001    1930    1501  0  80   0 - 80929 poll_s ?        00:00:00 gsd-smartcard
0 S  1001    1933    1501  0  80   0 - 81984 poll_s ?        00:00:00 gsd-sound
0 S  1001    1934    1501  0  80   0 - 98413 poll_s ?        00:00:00 gsd-usb-protect
0 S  1001    1938    1501  0  80   0 - 88508 poll_s ?        00:00:00 gsd-wacom
0 S  1001    1940    1501  0  80   0 - 80668 poll_s ?        00:00:00 gsd-wwan
0 S  1001    1947    1501  0  80   0 - 88840 poll_s ?        00:00:01 gsd-xsettings
0 S  1001    1958    1501  0  80   0 - 211840 poll_s ?       00:00:00 evolution-calen
0 S  1001    1965    1787  0  80   0 - 160728 poll_s ?       00:00:01 evolution-alarm
0 S  1001    2042    1501  0  80   0 - 87710 poll_s ?        00:00:00 gsd-printer
0 S  1001    2057    1501  0  80   0 - 188901 poll_s ?       00:00:00 evolution-addre
4 S  1001    2060    1501  0  80   0 - 367794 poll_s ?       00:00:16 snap-store
4 S     0    2207       1  0  80   0 - 108652 -     ?        00:00:02 fwupd
0 S  1001    3212    1501  0  80   0 - 42767 poll_s ?        00:00:00 gvfsd-metadata
0 S  1001    3215    1787  0  80   0 - 107291 poll_s ?       00:00:01 update-notifier
0 R  1001    <4224>    <1501>  0  80   0 - 243503 -     ?        00:00:33 gnome-terminal-
0 S  1001    <4235>    <4224>  0  80   0 -  4843 do_wai pts/0    00:00:00 bash
0 S  1001    4428    1501  0  80   0 - 119247 poll_s ?       00:00:00 seahorse
0 S  1001    4528    1546  0  80   0 - 99129 poll_s ?        00:00:00 gvfsd-network
0 S  1001    4541    1546  0  80   0 - 80908 poll_s ?        00:00:00 gvfsd-dnssd
1 I     0    4569       2  0  80   0 -     0 -      ?        00:00:01 kworker/2:1-events
4 S  1001    4648    1501  3  80   0 - 784737 poll_s ?       00:03:01 MainThread
4 S  1001    4723    4648  0  80   0 - 613456 poll_s ?       00:00:05 Privileged Cont
4 S  1001    4776    4648  0  80   0 - 610773 poll_s ?       00:00:08 Web Content
4 S  1001    4809    4648  0  80   0 - 603974 poll_s ?       00:00:07 WebExtensions
4 S  1001    4853    4648  6  80   0 - 734342 poll_s ?       00:05:10 Web Content
4 S  1001    4895    4648  0  80   0 - 599589 poll_s ?       00:00:01 Web Content
0 S  1001    5137    1501  0  80   0 - 268959 poll_s ?       00:00:12 nautilus
0 S  1001    5286    1501  0  80   0 - 231316 poll_s ?       00:00:41 pluma
0 S   998    5445     830  0  80   - -  1007 -      ?        00:00:02 bash
1 I     0    6117       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0-events
1 I     0    6234       2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:1-events_unbound
1 I     0    6290       2  0  80   0 -     0 -      ?        00:00:01 kworker/1:1-events
1 I     0    6341       2  0  80   0 -     0 -      ?        00:00:01 kworker/0:4-events
1 I     0    7022       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:2-events
1 I     0    7024       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:0-events
1 I     0    7425       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0-events
1 I     0    8489       2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:2-events_unbound
1 I     0    8514       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1-events
1 I     0    8569       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:3-events
1 I     0    8673       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:2-mm_percpu_wq
1 I     0    8703       2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:0-events_unbound
0 S  1001    8797    1501  0  80   0 - 110819 poll_s ?       00:00:00 tracker-store
0 R  1001    <8811>    <4235>  0  80   0 -   622 -      pts/0    00:00:00 fork2
1 S  1001    __8812__    (8811)  0  80   0 -   589 do_wai pts/0    00:00:00 fork2
0 S  1001    8813    8812  0  80   0 -   652 do_wai pts/0    00:00:00 sh
4 R  1001    8814    8813  0  80   0 -  5007 -      pts/0    00:00:00 ps
Message from C at the 0th iteration
Message from C at the 1th iteration
Message from C at the 2th iteration
Message from C at the 3th iteration
Message from C at the 4th iteration
Message from C at the 5th iteration
Message from C at the 6th iteration
Message from C at the 7th iteration
Message from C at the 8th iteration
Message from C at the 9th iteration
Message from P at the 0th iteration
Message from P at the 1th iteration
Message from P at the 2th iteration
Message from P at the 3th iteration
Message from P at the 4th iteration
Message from P at the 5th iteration
Message from P at the 6th iteration
Message from P at the 7th iteration
Message from P at the 8th iteration
Message from P at the 9th iterationS
